t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.209094,vel_pos,0,0.050000,1,-0.030902,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.111037,0.702844,-0.318937,-0.021086,-1.176006,-0.051756
4.211065,vel_pos,0,0.050000,1,-0.030803,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.111037,0.702844,-0.318937,-0.021086,-1.176006,0.029712
4.213154,vel_pos,0,0.050000,1,-0.030699,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.111037,0.702844,-0.318937,-0.021086,-1.176006,0.029712
4.215272,vel_pos,0,0.050000,1,-0.030593,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.159469,0.700481,-0.322481,-0.014377,-1.167380,-0.052714
4.217065,vel_pos,0,0.050000,1,-0.030503,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.159469,0.700481,-0.322481,-0.014377,-1.167380,-0.052714
4.219059,vel_pos,0,0.050000,1,-0.030404,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.158287,0.725287,-0.315394,0.018210,-1.182715,-0.052714
4.221064,vel_pos,0,0.050000,1,-0.030303,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.158287,0.725287,-0.315394,0.018210,-1.182715,-0.052714
4.223037,vel_pos,0,0.050000,1,-0.030205,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.158287,0.725287,-0.315394,0.018210,-1.182715,-0.052714
4.225134,vel_pos,0,0.050000,1,-0.030100,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.158287,0.725287,-0.315394,0.018210,-1.182715,-0.041213
4.227045,vel_pos,0,0.050000,1,-0.030004,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.158287,0.725287,-0.315394,0.018210,-1.182715,-0.041213
4.229242,vel_pos,0,0.050000,1,-0.029895,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.049612,0.715838,-0.324844,-0.038338,-1.172172,-0.044088
4.231059,vel_pos,0,0.050000,1,-0.029804,0.050000,20.000,1.000,0.000,-0.031000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.049612,0.715838,-0.324844,-0.038338,-1.172172,-0.044088
4.233089,vel_pos,0,0.050000,1,-0.029702,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.127575,0.711112,-0.322481,0.006709,-1.172172,-0.044088
4.235065,vel_pos,0,0.050000,1,-0.029603,0.050000,20.000,1.000,0.000,-0.030000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.127575,0.711112,-0.322481,0.006709,-1.138627,-0.044088
