time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
0.8526067761704326,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.88711875,-0.8091562499999999,0.009584399999999998,-1.1117903999999998,-0.02300256,0.02101990775297875,0.10835003996380799,2
0.856469641905278,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1512,0.8315999999999999,-0.8209687499999999,0.009584399999999998,-1.1117903999999998,-0.02300256,0.021237166338267003,0.10890854532444617,2
0.8599401172250509,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1512,0.8315999999999999,-0.8209687499999999,0.00575064,-1.13191764,-0.0287532,0.021455541934276536,0.10946705068508435,2
0.8630611728876829,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.8315999999999999,-0.8209687499999999,0.00575064,-1.13191764,-0.0287532,0.021675034541007342,0.11002555604572253,2
0.866135957185179,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.8315999999999999,-0.8209687499999999,0.00575064,-1.1577955199999999,-0.0287532,0.021895644158459425,0.11058406140636072,2
0.8684194940142334,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.8315999999999999,-0.8209687499999999,0.00575064,-1.1577955199999999,-0.02779476,0.022117370786632784,0.11114256676699891,2
0.871911970898509,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.8953875,-0.8032499999999999,0.00575064,-1.1577955199999999,-0.01341816,0.022340214425527423,0.1117010721276371,2
0.8761109560728073,1.044,0.008,0.012,0.0,0.08600000000000001,0.003,0.1582875,0.8953875,-0.8032499999999999,0.00575064,-1.1577955199999999,-0.01341816,0.022564175075143335,0.11225957748827528,2
0.87892214814201,1.044,0.009000000000000001,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.685125,-0.80679375,0.0,-1.0830372,-0.01341816,0.022789252735480523,0.11281808284891347,2
0.8820346118882298,1.044,0.009000000000000001,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.685125,-0.80679375,0.00575064,-1.13766828,-0.024919439999999998,0.023015447406538984,0.11337658820955165,2
0.8879748820327222,1.044,0.01,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.732375,-0.81624375,0.00575064,-1.13000076,-0.02971164,0.02324275908831873,0.11393509357018984,2
0.8937679082155228,1.044,0.01,0.012,0.0,0.08600000000000001,0.003,0.14293124999999998,0.8800312499999999,-0.8127,-0.00287532,-1.13000076,-0.02971164,0.023471187780819747,0.11449359893082803,2
0.8973879320546985,1.044,0.01,0.012,0.0,0.08600000000000001,0.003,0.13348125,0.8682187499999999,-0.80443125,-0.00575064,-1.1405436,-0.02971164,0.023700733484042044,0.11505210429146621,2
0.9020272018387914,1.044,0.01,0.012,0.0,0.08600000000000001,0.003,0.13348125,0.8682187499999999,-0.80443125,-0.00575064,-1.1405436,-0.0143766,0.02393139619798561,0.1156106096521044,2
0.9050439512357116,1.044,0.01,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.7902562499999999,-0.81624375,0.004792199999999999,-1.13000076,-0.01341816,0.02416317592265046,0.11616911501274259,2
0.912227219901979,1.044,0.01,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.7902562499999999,-0.81624375,0.004792199999999999,-1.13000076,-0.01341816,0.024396072658036578,0.11672762037338076,2
0.9150520139373839,1.044,0.011,0.012,0.001,0.08600000000000001,0.003,0.15946875,0.67213125,-0.8197874999999999,-0.00383376,-1.1271254400000001,-0.01341816,0.024630086404143974,0.11728612573401895,2
0.9184902282431722,1.044,0.012,0.012,0.0,0.08600000000000001,0.003,0.14056875,0.7749,-0.8020687499999999,0.01821036,-1.14437736,-0.01533504,0.024865217160972654,0.11784463109465712,2
0.9375984431244433,1.044,0.013000000000000001,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.8493187499999999,-0.8032499999999999,0.01821036,-1.14437736,-0.02971164,0.025101464928522606,0.11840313645529531,2
0.9432481569238007,1.044,0.013000000000000001,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.8493187499999999,-0.8127,0.02012724,-1.13862672,-0.02971164,0.025338829706793835,0.1189616418159335,2
0.9466229812242091,1.044,0.013000000000000001,0.012,0.0,0.08600000000000001,0.003,0.14175000000000001,0.8493187499999999,-0.8127,0.00670908,-1.13000076,-0.03642072,0.025577311495786337,0.11952014717657168,2
