time_s,tau_cmd_j1,tau_cmd_j2,tau_cmd_j3,tau_cmd_j4,tau_cmd_j5,tau_cmd_j6
13.129672242328525,8.673617379884035e-18,0.47237952843162234,-1.1737130052885916,0.060579281965719226,-0.27099118937642624,0.00882186676813222
13.143622944131494,3.5561831257524545e-17,0.47609345517877977,-1.173676877458666,0.06167309118926978,-0.2705839481365587,0.008886746338019665
13.152856983244419,-6.071532165918825e-18,0.4806668746505318,-1.1754760548583407,0.06386098231433611,-0.27192872717563255,0.00891984351521852
13.1615492105484,-2.6020852139652106e-18,0.4823014456847312,-1.1765477727932783,0.06787516634203047,-0.27325467336582865,0.008786162900336233
13.170625362545252,1.9081958235744878e-17,0.4858965610583852,-1.178320422240375,0.06725891064853892,-0.2827785230246414,0.008290991432717491
13.180744988843799,1.214306433183765e-17,0.48633458736527013,-1.1796583466584154,0.061394893256339955,-0.2927572062713879,0.007718026776419589
13.191049540415406,-8.673617379884035e-19,0.48716947073075123,-1.1805927500483446,0.05727213846945965,-0.3079918591583394,0.0070246010804206295
13.201347794383764,7.546047120499111e-17,0.48936948464962926,-1.182786751773279,0.050731610907086166,-0.3166469376465698,0.006683929035807582
13.211692653596401,1.1275702593849246e-17,0.4908146012178314,-1.183957985745297,0.048389803564711675,-0.3222352240145651,0.006453830242853187
13.222070258110762,3.122502256758253e-17,0.49400034112351165,-1.1859597046826424,0.045325258236829084,-0.32551428396673193,0.0064097265265869036
13.231702484190464,3.469446951953614e-18,0.49593908538135245,-1.1865920220405135,0.04231252805118684,-0.326852151970355,0.00646761637867083
13.241134414449334,-1.3010426069826053e-17,0.5000518206346302,-1.1884195022735833,0.042474940626689786,-0.32694833795958345,0.006518146058407941
13.250225322321057,1.5612511283791264e-17,0.5044186466304414,-1.1899101570071313,0.043903208275940415,-0.3254444091291444,0.0067828513363309036
13.260699285194278,-2.6020852139652106e-18,0.5068369492097272,-1.1908017294332973,0.04721054010052821,-0.32508495570787466,0.006922778820509967
13.271108411252499,1.9949319973733282e-17,0.5111807343311227,-1.1921848349570285,0.049395782130045154,-0.32541902840446857,0.006947749250389309
13.280989913269877,-1.734723475976807e-18,0.5132044030349977,-1.1925900137968442,0.05145161399093634,-0.32616456422460194,0.006922424607368407
13.292229635640979,1.8214596497756474e-17,0.5149244594063707,-1.1932834528309242,0.05125262434098158,-0.32982169867962513,0.006769552262418821
13.30205405689776,3.8163916471489756e-17,0.5183722179322012,-1.1946165419538837,0.0521763172868968,-0.33261980721321316,0.0066274992872529075
13.312839772552252,9.540979117872439e-18,0.5201159687533241,-1.1952401003485005,0.05281538873348712,-0.33809249390598234,0.006333987237663162
13.323984550312161,3.642919299551295e-17,0.5229396113288679,-1.1963276555783948,0.05271868001023805,-0.3410272836114292,0.006228730873444224
13.33386780321598,-1.5612511283791264e-17,0.5246269019922908,-1.1969664586472457,0.052676046765316134,-0.3425749316318061,0.006175542891722608
13.34629050269723,3.5561831257524545e-17,0.5273943381033401,-1.1980414033068607,0.05160226801283807,-0.34473780924172426,0.006108762087557952
13.354338889941573,-2.3418766925686896e-17,0.5290962603240127,-1.1986242104657894,0.05277739787373278,-0.3438755762377219,0.006168965597836366
13.366029988974333,9.540979117872439e-18,0.5302083200984167,-1.199026666278781,0.0528022081252456,-0.3441973019119854,0.006167259566133643
13.375062327831984,-2.2551405187698492e-17,0.533563558168745,-1.2001734492509202,0.05393417416979355,-0.3448747149481689,0.006173285440194353
13.38480819016695,2.7755575615628914e-17,0.5346669699406243,-1.2005568492443133,0.053958618865999654,-0.34519315337483913,0.006171388136194341
13.39551654830575,3.122502256758253e-17,0.5379958272256246,-1.2016467582472106,0.055091281495640264,-0.3458692513411059,0.006176483875409797
13.407469129189849,2.42861286636753e-17,0.5391220757866413,-1.2019795224738967,0.05617633782247874,-0.34591534842329086,0.006185252594786713
13.416665280237794,3.469446951953614e-18,0.5418490163189258,-1.2028696319452594,0.05623662077677296,-0.34670271886169024,0.006179690385146622
13.425789842382073,2.6020852139652106e-18,0.543478682812675,-1.2033892646154691,0.05627211580257977,-0.347170981998967,0.006176278891885742
13.435988076031208,7.806255641895632e-18,0.5445624106540244,-1.203729669738473,0.056295497810732814,-0.34748142184895553,0.006173973678805303
13.446081191301346,6.071532165918825e-18,0.5472621909572185,-1.2045596143526371,0.05635296745243544,-0.34825143791755253,0.006168102618680101
13.456960797309875,4.336808689942018e-18,0.5483382760193505,-1.2048831614351987,0.05637556091627212,-0.3485570076883753,0.0061657110083188265
