time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0.3715,0.134537769,0.692259682,-0.333815047,0.220318637,-0.284194256,0.260479624,0.410412898,0.499550295,0.63838213,0.714222079,0.818538123,0.89783829,-0.454876114,-0.652669468,-1.076928921,-1.577487038,-2.882825973,-3.654560236
0.3766,0.136648599,0.694966528,-0.3306216,0.224178481,-0.280129235,0.264869957,0.403192128,0.49407589,0.62968294,0.698345639,0.814015702,0.885050561,-0.437380879,-0.866986099,-1.04582628,-1.876849951,-2.728284729,-3.564654166
0.3818,0.138722014,0.697469815,-0.327247649,0.227782688,-0.276130145,0.269241076,0.409782486,0.493730699,0.622582183,0.693106302,0.803821229,0.872052767,-0.383923216,-0.792631349,-1.343245278,-1.837485672,-2.603388189,-3.611308127
0.3869,0.140738295,0.699962585,-0.324158762,0.231306603,-0.272195065,0.273737385,0.412438166,0.488745894,0.620698408,0.683600339,0.784091147,0.856103212,-0.275549954,-0.739173686,-1.242647676,-1.751953411,-2.478977628,-4.026333983
0.392,0.142894934,0.702417939,-0.320881788,0.23473698,-0.268171504,0.278135909,0.400023571,0.482250836,0.596647027,0.667857154,0.773621172,0.823520815,-0.395100728,-0.649753595,-1.477861393,-1.576515081,-2.594640572,-4.440387883
0.3972,0.145052078,0.705029932,-0.317818586,0.238322581,-0.264056426,0.28248468,0.398030329,0.477889298,0.578115321,0.658920394,0.748509216,0.77330932,-0.51513748,-0.834911501,-1.383581515,-1.705299451,-2.953292893,-4.899637806
0.4023,0.147063909,0.707394276,-0.314841339,0.241585701,-0.260248559,0.286519769,0.402278755,0.476447472,0.58158137,0.660950205,0.734611731,0.736073652,-0.433493049,-0.658015234,-1.206685248,-1.400104793,-2.923648189,-4.995375621
0.4074,0.149025179,0.709705026,-0.311888664,0.244817171,-0.25635767,0.290231267,0.402842782,0.475853971,0.582492945,0.659200099,0.723448701,0.724263348,-0.303250743,-0.429605219,-1.068181303,-1.126498754,-3.159833864,-4.780087032
0.4125,0.151005258,0.712033067,-0.309030033,0.248104561,-0.253072808,0.293769744,0.402712005,0.472950175,0.581117795,0.654661883,0.714107509,0.709716934,-0.222092291,-0.248821122,-0.83928531,-0.999658299,-2.565481847,-4.522518292
0.4177,0.152976742,0.714409243,-0.306139347,0.251425018,-0.24954596,0.297172616,0.398325974,0.466413979,0.577234485,0.647768299,0.684982827,0.692072795,-0.1326722,-0.145307648,-0.703211258,-0.966611743,-2.451762818,-4.258631828
0.4228,0.154968955,0.716808676,-0.303284053,0.254798766,-0.246157144,0.300522399,0.389579863,0.458343962,0.57011492,0.636259496,0.681649158,0.672648589,-0.063177238,-0.064149196,-0.533118694,-1.046798238,-2.205371589,-4.098744818
0.428,0.157077662,0.719200526,-0.30033603,0.258087572,-0.242705633,0.303906664,0.386906397,0.467167295,0.55850688,0.64440207,0.675021137,0.644348224,-0.16766267,0.024298938,-0.514165523,-1.045340302,-2.174268949,-4.158034226
