time_s,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6
4.570843489840627,2.0599841277224584e-17,-0.7513143839461461,-2.634344140687576,-0.0062818091018618915,-0.2379069885180677,-1.8603962292518064e-06
4.581050461158156,2.7972416050126014e-17,-0.7571137217773762,-2.634405072756631,-0.006184815956954515,-0.2379700921078382,-1.8608353705785792e-06
4.5911762826144695,2.168404344971009e-19,-0.7744004148171465,-2.6344653077257116,-0.006071864799262156,-0.23803288521349414,-1.8612768928337243e-06
4.6013066824525595,2.8189256484623115e-18,-0.779176783452025,-2.633495795882814,-0.00581265949266074,-0.23812853935519068,-1.8618691068690669e-06
4.611402541399002,-3.469446951953614e-18,-0.790702146992154,-2.633523841258549,-0.005668521728376078,-0.23815999458141557,-1.8621145008788947e-06
4.621553001925349,-1.1275702593849246e-17,-0.789638606112341,-2.632460300378736,-0.00536383474674011,-0.2381654228374709,-1.8621295462816155e-06
4.631679642945528,2.6454533008646308e-17,-0.7896086448213009,-2.632430339087696,-0.005221059121576614,-0.23813900887575046,-1.861996455737999e-06
4.641806814819574,6.288372600415926e-18,-0.7894728596776217,-2.632294553944017,-0.004905395251917338,-0.23801125686290894,-1.861249032010225e-06
4.651968175545335,-1.1926223897340549e-17,-0.7893575060824467,-2.6321792003488422,-0.004732765680769465,-0.23790040886961664,-1.8605724866609722e-06
4.6639517191797495,1.8648277366750676e-17,-0.7902456459446243,-2.633067340211019,-0.004546761398618309,-0.2377318774235133,-1.859627239521986e-06
4.674433954060078,3.0357660829594124e-18,-0.7897778785779146,-2.6325995728443092,-0.0041434839776191236,-0.23727514514570391,-1.8567543273403173e-06
4.684588553383946,2.0816681711721685e-17,-0.7826964962793077,-2.6312677739134607,-0.003942207140979467,-0.23701066442428972,-1.8549773956626539e-06
4.694793671369553,2.3418766925686896e-17,-0.7819332748871426,-2.6305045525212956,-0.0035155545117886745,-0.23625988701041256,-1.8501896619969652e-06
4.704910950735211,3.209238430557093e-17,-0.780947157822262,-2.629518435456415,-0.003079633366173116,-0.23528704884867466,-1.8439534865913873e-06
4.715028999373317,2.3852447794681098e-17,-0.7803592474074683,-2.6289305250416213,-0.00285665944667708,-0.23470615913304888,-1.8402194888246261e-06
4.725584261119366,2.211772431870429e-17,-0.7789767303494954,-2.6275480079836484,-0.0024015185535026786,-0.2333384722360068,-1.831408580681309e-06
4.735793966799974,2.1250362580715887e-17,-0.7781751880014414,-2.6267464656355943,-0.002169712253650297,-0.23254474957567214,-1.8262863175137454e-06
4.745941027998924,2.47198095326695e-17,-0.7765117200907408,-2.6250829977248937,-0.0017410302841475728,-0.23089623847350868,-1.8156331052822641e-06
4.756054379045963,1.8214596497756474e-17,-0.7754765827580019,-2.624047860392155,-0.0015016781287591234,-0.22986974322153647,-1.8089919295714586e-06
4.7661785539239645,2.42861286636753e-17,-0.7743080265566518,-2.6228793041908047,-0.001251155732241954,-0.22871046532463396,-1.801486206125767e-06
4.7763732727617025,1.9081958235744878e-17,-0.7720475693290652,-2.620618846963218,-0.0008134193008483368,-0.22646681836355945,-1.7869467170220895e-06
4.786509687080979,2.3418766925686896e-17,-0.7709078732511772,-2.61947915088533,-0.0006116998060007968,-0.2253351371068117,-1.779607814036312e-06
4.796641388908029,2.0816681711721685e-17,-0.7684763994863155,-2.6170476771204685,-0.00021513751511523585,-0.22291994225831752,-1.7639359908553731e-06
4.80677723325789,2.0383000842727483e-17,-0.7670973077094227,-2.6156685853435757,-7.48559109129375e-06,-0.2215496644097708,-1.7550396732691851e-06
4.816825240850449,2.2551405187698492e-17,-0.764358693871172,-2.612929971505325,0.00037441998807089764,-0.21882781425785935,-1.7373600240997397e-06
4.828292073681951,2.3418766925686896e-17,-0.7629152656923013,-2.6114865433264542,0.0005616453994987209,-0.21739288029117787,-1.7280355736106083e-06
4.838435359299183,2.211772431870429e-17,-0.7614228526624489,-2.609994130296602,0.0007463295381548371,-0.2159090338435502,-1.718390812287695e-06
4.848703248426318,2.0816681711721685e-17,-0.758292426142178,-2.6068637037763307,0.0011079083656685912,-0.21279594987220443,-1.6981491088432994e-06
4.858994984999299,2.0383000842727483e-17,-0.756655116984519,-2.605226394618672,0.0012847217008154438,-0.21116741277924664,-1.687556721019697e-06
4.869159923866391,2.0383000842727483e-17,-0.7532381487295372,-2.60180942636369,0.00163019731156752,-0.2077681803661976,-1.6654407888463357e-06
4.879379712045193,3.946495907847236e-17,-0.7515792993879122,-2.600150577022065,0.0017876301923529618,-0.2061176916479464,-1.6546996005218911e-06
4.889682438224554,2.3418766925686896e-17,-0.7480148150836807,-2.5965860927178337,0.002105900104378544,-0.20257068655620097,-1.631610553082814e-06
4.899866987019777,2.168404344971009e-17,-0.7446739776964575,-2.5932452553306105,0.00238207394714171,-0.19924569463604475,-1.6099605532224942e-06
4.910118203610182,2.3418766925686896e-17,-0.7429528506632157,-2.591524128297369,0.002516847791216842,-0.19753254869015865,-1.5988036755655094e-06
4.920314636081457,2.3418766925686896e-17,-0.7396878042284214,-2.5882590818625744,0.0027597615344603955,-0.19428233305301076,-1.5776330816396543e-06
4.930406648665667,2.3418766925686896e-17,-0.7381537717656759,-2.5867250493998286,0.002868508024063721,-0.19275513796707655,-1.5676840566133527e-06
